raw_payer	primaryPayerType	mapped_payer
UHC - SHARED SERVICES	OTHER	UNITED HEALTHCARE
CARESOURCE-PCS	MEDICAID	CARESOURCE HEALTH PLAN (OH)
GENERAL HORIZON BCBS NJ	OTHER	BCBS HORIZON (NJ)
CARESOURCE	COMMERCIAL	CARESOURCE HEALTH PLAN (OH)
PRIME THERAPEUTICS	MEDICARE	PRIME THERAPEUTICS
BCBS MICHIGAN	MEDICARE	BCBS MICHIGAN (MI)
ANTHEM PRESC MGMT - EXPRESS SCRIPTS	COMMERCIAL	Anthem
CENTENE(OH)	OTHER	Centene(OH)
BLUE CROSS CAPITAL/CBC (PA)	OTHER	BLUE CROSS CAPITAL/CBC (PA)
BCBS CAREFIRST (DC)	OTHER	BCBS CAREFIRST (DC)
MEDCO COMMERCIAL	OTHER	ESI
OPUS HEALTH COUPON PROGRAM	COMMERCIAL	OPUS HLTH INFO SYS UNSPEC
MVP HEALTH CARE	MEDICAID	"MVP Health Care, Inc. (NY)"
AMERIHEALTH (NJ)	COMMERCIAL	AmeriHealth (NJ)
AMERIHEALTH	COMMERCIAL	AMERIHEALTH CARITAS FAMILY OF COMPANIES
AMBETTER (MO)	COMMERCIAL	Centene(MO)
MAGELLAN	GOVERNMENT	MAGELLAN
MODA HEALTH	COMMERCIAL	Moda Health
AMERICHOICE	COMMERCIAL	UNITED HEALTHCARE
BCBS OF MASSACHUSETTS	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
AMERIHEALTH CARITAS	OTHER	AMERIHEALTH CARITAS FAMILY OF COMPANIES
ARGUS HEALTH SYSTEMS	OTHER	ARGUS
FIDELIS-CAREMARK	MEDICAID	FIDELIS CARE NEW YORK (NY) 
CONNECTICUT MEDICAID	MEDICAID	MEDICAID (CT)
TRICARE EAST-HUMANA	GOVERNMENT	TRICARE
CASH PAYMENT	OTHER	Cash
BLUE SHIELD OF LOUISIANA	OTHER	BCBS LOUISIANA (LA)
CAPITAL BLUE CROSS	COMMERCIAL	BLUE CROSS CAPITAL/CBC (PA)
PERSONAL PAY-PREPAY	CASH	Cash
NONE/PRIVATE PAY	COMMERCIAL	Cash
VIVITROL CASH	OTHER	Cash
CENTENE CORPORATION	COMMERCIAL	Centene
GREAT WEST COMMERCIAL	OTHER	Cigna
HEALTH PARTNERS PLANS	COMMERCIAL	Health Partners Plans
MEDCO VDZ	COMMERCIAL	ESI
GEISINGER HEALTH PLAN (PA)	OTHER	GEISINGER HEALTH PLAN (PA)
AMERIHEALTH CARITAS PENNSYLVANIA	COMMERCIAL	AMERIHEALTH CARITAS FAMILY OF COMPANIES
COMMUNITY HLTH PLAN WA - EXP SCRIPT	MEDICAID	COMMUNITY HEALTH PLAN OF WA (WA)
ANTHEM(OH)	OTHER	Anthem(OH)
UNITED HEALTHCARE (NJ)	MEDICAID	UNITED HEALTHCARE (NJ)
OPTUM DIRECT	PBM	OPTUMRX
BCBS LOUISIANA (LA)	OTHER	BCBS LOUISIANA (LA)
CENTENE(AR)	OTHER	Centene(AR)
CENTENE(AR)	MEDICAID	Centene(AR)
GEISINGER HEALTH PLAN - MEDIMPACT	PBM	GEISINGER HEALTH SYSTEM CORPORATION
MARYLAND PHYSICIANS CARE (MD)	MEDICAID	MARYLAND PHYSICIANS CARE (MD)
COMMUNITY HEALTH PLAN OF WA NSB	MEDICAID	COMMUNITY HEALTH PLAN OF WA (WA)
KEYSTONE FIRST	MEDICAID	KEYSTONE/AMERIHEALTH MERCY
CVS	COMMERCIAL	CVS Caremark
CVS	OTHER	CVS Caremark
BCBS SOUTH CAROLINA (SC)	OTHER	BCBS SOUTH CAROLINA (SC)
INDEPENDENT HEALTH	COMMERCIAL	INDEPENDENT HEALTH ASSN. (NY)
CENTENE(MO)	COMMERCIAL	Centene(MO)
MERIDIAN HEALTH PLAN (MI)	COMMERCIAL	Meridian Health Plan (MI)
WALGREENS HEALTHPLUS	MEDICARE	WALGREENS
BCBS ARIZONA	COMMERCIAL	BCBS ARIZONA (AZ)
HORIZON BLUE CROSS BLUE SHIELD OF NEW JERSEY	COMMERCIAL	BCBS HORIZON (NJ)
UPMC HEALTH PLAN - EXPRESS	PBM	UPMC HEALTH SYSTEM
MEDIMPACT COMMERCIAL	COMMERCIAL	MEDIMPACT
AMERIHEALTH LA	OTHER	AMERIHEALTH CARITAS (LA)
AMERIHEALTH NORTHEAST	COMMERCIAL	AMERIHEALTH CARITAS FAMILY OF COMPANIES
ANTHEM HEALTH KEEPERS PLUS	MEDICAID	Anthem(VA)
BCBS OF IL-PRIME THERAPEUTICS	PBM	BCBS HEALTHCARE SERVICE CORP (IL)
BCBS NEBRASKA	COMMERCIAL	BCBS NEBRASKA (NE)
CAREMARK - PCS	MEDICARE	CVS CAREMARK
CVSCAREMARK	OTHER	CVS Caremark
HUMANA HEALTH PLAN	OTHER	HUMANA
MEDICAID NEW YORK	MEDICAID	MEDICAID (NY)
NAVITUS HEALTH SOLUTIONS LLC	MEDICARE	NAVITUS HEALTH SOLUTIONS (UNSPECIFIED)
NHP OF RHODE ISLAND	MEDICAID	NEIGHBORHOOD HEALTH PLAN OF RI (RI)
PRESCRIPTION SOLUTIONS MA	OTHER	OPTUMRX
REGENCE BLUE SHIELD OF IDAHO	COMMERCIAL	REGENCE BLUE SHIELD OF IDAHO
UHC - SHARED SERVICES/GEHA	OTHER	UNITED HEALTHCARE
UNITED HEALTHCARE UNISON	MEDICAID	UNITED HEALTHCARE
WELLCARE KY MCAI	OTHER	WELLCARE HEALTH PLANS (KY)
COMMUNITY HLTH PLAN WA - EXP SCRIPT	COMMERCIAL	COMMUNITY HEALTH PLAN OF WA (WA)
MAGNACARE	COMMERCIAL	MAGNA INTERNATIONAL OF AMERICA
CCHP-DEAN HEALTH	MEDICAID	DEAN HEALTH PLAN (WI)
VRX PHARMACY SERVICES DESERET	COMMERCIAL	DESERET MUTUAL (UT)
THE EMPIRE PLAN	COMMERCIAL	EMPIRE PLAN NY STATE EMP (NY)
AETNA	MEDICARE	AETNA
HEALTHNOW NEW YORK INC	MEDICAID	BCBS/BS/HEALTH NOW NEW YORK (NY)
BLUE CROSS MASSACHUSETTS (MA)	OTHER	BLUE CROSS MASSACHUSETTS (MA)
GATEWAY HEALTH PLAN	OTHER	Gateway Health Plan
CATAMARAN	MEDICAID	Catamaran
AETNA (NJ)	OTHER	Aetna (NJ)
CENTENE(IL)	MEDICAID	Centene(IL)
MEDICAID (WI)	MEDICAID	MEDICAID (WI)
MERITAIN HEALTH	OTHER	MERITAIN HEALTH
AMERIHEALTH (NJ)	OTHER	AmeriHealth (NJ)
BCBS SOUTH CAROLINA (SC)	COMMERCIAL	BCBS SOUTH CAROLINA (SC)
MERIDIAN	OTHER	MERIDIAN HEALTH PLAN
UNITED HEALTHCARE (MD)	COMMERCIAL	UNITED HEALTHCARE (MD)
UNITED HEALTHCARE (TN)	COMMERCIAL	UNITED HEALTHCARE (TN) 
BCBS MONTANA	COMMERCIAL	BCBS MONTANA (MT)
UPMC HEALTH SYSTEM	COMMERCIAL	UPMC HEALTH SYSTEM
AETNA US HEALTH	PBM	AETNA
BCBS IL	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
BLUE CHOICE PPO (TX)	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
HUMANA (AZ)	COMMERCIAL	HUMANA (AZ)
JOHNS HOPKINS HEALTHCARE (MD)	COMMERCIAL	JOHNS HOPKINS HEALTHCARE (MD)
UPMC	COMMERCIAL	UPMC HEALTH SYSTEM
AMERIGROUP NV-EXPRESS	MEDICAID	AMERIGROUP CORP/AMERICAID
BCBS OF KANSAS CITY - EXPRESS	PBM	BCBS KANSAS CITY (MO)
CIGNA MULTIPLAN	OTHER	CIGNA
CAREMARK FKA ADVANCE PCS	PBM	CVS CAREMARK
GROUP HEALTH INC - EXP SCRIPTS	PBM	EMBLEMHEALTH/HIP/GHI (NY)
AMERIHEALTH MERCY	OTHER	KEYSTONE/AMERIHEALTH MERCY
MAGELLAN RX	OTHER	MAGELLAN
SILVERSCRIPT - PCS	MEDICARE	SILVERSCRIPT
UNIV PITTSBURGH HEALTH/UPMC (PA)	COMMERCIAL	UNIV PITTSBURGH HEALTH/UPMC (PA)
MEDICARE PART D EMPIRE BCBS	COMMERCIAL	Anthem(NY)
ADVANCE/PCS	MEDICARE	CVS CAREMARK
NY STATE EMPIRE PLAN	GOVERNMENT	EMPIRE PLAN NY STATE EMP (NY)
FEP	MEDICAID	FEDERAL EMPLOYEES/ FEHB
FEP	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
FEDERAL BC/BS	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
FEDERAL BLUE CROSS	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
HEALTH NET OF CALIFORNIA	OTHER	HEALTH NET INC. (CA)
IL HEALTH PARTNERS LLC LOA	OTHER	Other
UHC	OTHER	UNITED HEALTHCARE
OPUS	OTHER	OPUS HLTH INFO SYS UNSPEC
CATALYST RX	COMMERCIAL	Catalyst(Unspecified)
OTHER	COMMERCIAL	OTHER
PRIME THERAPUTICS	PBM	PRIME THERAPEUTICS
PRESCRIPTION SOLUTIONS	OTHER	OPTUMRX
HUMANA	OTHER	HUMANA
BCBS TENNESSEE	OTHER	BCBS TENNESSEE (TN)
AETNA (MD)	OTHER	Aetna (MD)
HUGHMARK	COMMERCIAL	Highmark
HMANA DRUG PLAN 03200000	OTHER	HUMANA
HEALTH ALLIANCE MEDICAL PLAN HAP (HENRY FORD HEALTH CARE CORP)	OTHER	Health Alliance Medical Plan HAP (Henry Ford Health Care Corp)
MEDICAID (NJ)	COMMERCIAL	MEDICAID (NJ)
HEALTH NET INC. (OR)	COMMERCIAL	HEALTH NET INC. (OR)
AMERICAN HEALTH CARE	COMMERCIAL	AMERICAN HLTHCARE UNSPEC
BCBS OF LOUISIANA	OTHER	BCBS LOUISIANA (LA)
MEDICAID (TX)	COMMERCIAL	MEDICAID (TX)
ANTHEM(TN)	COMMERCIAL	Anthem(TN)
MAGELLAN PHARMACY SOLUTIONS	COMMERCIAL	MAGELLAN
DELAWARE MEDICAID	COMMERCIAL	MEDICAID (DE)
BLUE CROSS BLUE SHIELD OF TEXAS	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (TX)
CAREPLUS D HUMANA PDP	OTHER	Humana
MED.RX-D HUMANA-ARGUS G	MEDICARE	Humana
HEALTHNET	COMMERCIAL	HEALTH NET
SELECT HEALTH FORMERLY IHC	COMMERCIAL	IHC Health Plans Corp
AETNA MEDICARE	MEDICARE	AETNA
AETNA (CT)	COMMERCIAL	Aetna (CT)
EMPIRE BCBS NEW YORK PPO	COMMERCIAL	Anthem(NY)
ANTHEM BCBS OF OHIO	COMMERCIAL	Anthem(OH)
ARGUS PCN 01960000	OTHER	ARGUS
BCBS NM - HEALTH CARE SERVICE CORP	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (NM)
BCBS TENNESSEE - EXPRESS SCRIPTS	PBM	BCBS TENNESSEE (TN)
BCBS/THE REGENCE GROUP (WA)	COMMERCIAL	BCBS/THE REGENCE GROUP (WA)
CAREFIRST BLUE CROSS BLUE SHIELD	COMMERCIAL	"CAREFIRST, INC."
CENTENE(TX)	COMMERCIAL	Centene(TX)
CIGNA - CATAMARAN	PBM	CIGNA
CIGNA HEALTHCARE	COMMERCIAL	CIGNA
ENVISION RX OPTIONS- FIRST HEALTH	PBM	ENVISIONRX OPTIONS
MEDCO PART D	MEDICARE	ESI
FIDELIS CARE MEDICARE D	MEDICAID	FIDELIS CARE NEW YORK (NY) 
NAVITUS NVP	OTHER	NAVITUS HEALTH SOLUTIONS (UNSPECIFIED)
NH HEALTHY FAMILIES	COMMERCIAL	NH Healthy Families
UHC GOLDEN RULE	OTHER	UHC GOLDEN RULE
UHC - GEHA	OTHER	UNITED HEALTHCARE
UPMC HEALTH PLAN	MEDICAID	UPMC HEALTH SYSTEM
BCBS RX	OTHER	BLUE CROSS BLUE SHIELD
BLUE CROSS BLUE SHIELD OF TENNESSEE	COMMERCIAL	BCBS TENNESSEE (TN)
BLUE CROSS NORTH DAKOTA	COMMERCIAL	BCBS NORTH DAKOTA (ND)
BS OF CA-BLUE CARD DRUG ONLY	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
IBC-MEDICAL	COMMERCIAL	Independence Blue Cross (PA)
PER CHOICEBLUE CROSS INDEPENDENCE/IBC (PA)	COMMERCIAL	Independence Blue Cross (PA)
KAISER FOUNDATION HP MEDIMPACT.	PBM	KAISER
TUFTS HEALTH PLAN	COMMERCIAL	TUFTS HEALTH PLAN CORP.
LDI	COMMERCIAL	LDI PHARM BENFT MGMT UNSPEC
OPTUMRX	MEDICARE	OptumRX
SXC HEALTH SOLUTIONS	MEDICAID	UNITED HEALTHCARE
HIGHMARK	OTHER	Highmark
SILVERSCRIPT	MEDICARE	SILVERSCRIPT
BCBS NORTH CAROLINA	MEDICARE	BCBS NORTH CAROLINA (NC)
UNITED HEALTHCARE	CASH	UNITED HEALTHCARE
OTHER	OTHER	OTHER
CATAMARAN	MEDICARE	Catamaran
INFORMED RX/SXC	MEDICARE	OPTUMRX
UNITED HEALTH CARE	COMMERCIAL	UNITED HEALTHCARE
CENTENE(IL)	OTHER	Centene(IL)
HEALTH NET INC. (AZ)	MEDICAID	HEALTH NET INC. (AZ)
HUMANA	MEDICARE	HUMANA
ENVISION RX OPTIONS	PBM	ENVISIONRX OPTIONS
ENVISION RX OPTIONS	MEDICAID	ENVISIONRX OPTIONS
AARP	MEDICARE	UNITED HEALTHCARE
BCBS HIGHMARK (DE)	OTHER	BCBS HIGHMARK (DE)
FIRST CAROLINACARE (NC)	MEDICAID	FIRST CAROLINACARE (NC)
ARGUS	PBM	Argus
LDI INTEGRATED PHARM SVCS-COMCOTEC	PBM	LDI PHARM BENFT MGMT UNSPEC
BCBS EXCELLUS (NY)	OTHER	BCBS EXCELLUS (NY)
ILLINICARE HEALTH PLAN	COMMERCIAL	Centene(IL)
AMERIHEALTH	MEDICAID	AMERIHEALTH CARITAS FAMILY OF COMPANIES
HEALTH PARTNERS PLANS (PA)	OTHER	HEALTH PARTNERS PLANS (PA)
EMBLEM HEALTH	COMMERCIAL	EMBLEMHEALTH
EMBLEM HEALTH	MEDICAID	EMBLEMHEALTH
MERIDIAN	COMMERCIAL	MERIDIAN HEALTH PLAN
LDI RX	OTHER	LDI PHARM BENFT MGMT UNSPEC
MARYLAND PHYSICIANS CARE	MEDICAID	MARYLAND PHYSICIANS CARE (MD)
AETNA (VA)	COMMERCIAL	Aetna (VA)
BLUE CROSS BLUE SHIELD FEDERAL EMPLOYEE PROGRAM	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
MED IMPACT	PBM	MEDIMPACT
MCLAREN HEALTH PLAN-MEDICARE D	MEDICARE	MCLAREN HEALTH PLAN (MI)
DST	PBM	ARGUS
EXPRESS SCRIPT	MEDICAID	ESI
HEALTH NET	COMMERCIAL	Health Net
KEYSTONE/AMERIHEALTH MERCY (PA)	COMMERCIAL	KEYSTONE/AMERIHEALTH MERCY (PA)
INDIANA MEDICAID	OTHER	MEDICAID (IN)
SAV RX	COMMERCIAL	SAV-RX
AETNA (GA)	COMMERCIAL	Aetna (GA)
AETNA (NC)	COMMERCIAL	Aetna (NC)
ANTHEM (CO)	COMMERCIAL	Anthem (CO)
ANTHEM (WI)	COMMERCIAL	Anthem (WI)
ANTHEM(MO)	COMMERCIAL	Anthem(MO)
ARGUS/HEALTHSOURCE	PBM	ARGUS
BCBS OF ILLINOIS - HMO HIT ONLY	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
HORIZON BCBS NEW JERSEY-DRUG ONLY	COMMERCIAL	BCBS HORIZON (NJ)
BCBS OF LA	OTHER	BCBS LOUISIANA (LA)
BCBS OF MISSISSIPPI - BLUECARD	COMMERCIAL	BCBS MISSISSIPPI (MS)
CAPITAL DIST PHYSICIAN (NY)	COMMERCIAL	CAPITAL DIST PHYSICIAN (NY)
CENTENE(GA)	COMMERCIAL	Centene(GA)
ENVISIONRX	OTHER	ENVISIONRX OPTIONS
GEISINGER HEALTH PLAN/MEDIMPAC	PBM	GEISINGER HEALTH SYSTEM CORPORATION
HEALTHPARTNERS OF PA - ARGUS	MEDICAID	"HEALTH PARTNERS, INC."
HUMANA MED D	MEDICARE	HUMANA
HUMANA PART D	MEDICARE	HUMANA
WEST VIRGINIA MEDICAID	MEDICAID	MEDICAID (WV)
OPTUM RX  CATAMARAN	PBM	OPTUMRX
OPTUMRX2	OTHER	OPTUMRX
TRICARE NORTH - HEALTHNET	GOVERNMENT	TRICARE
UHC COMMUNITY PLAN  - PRES SOL	MEDICAID	UNITED HEALTHCARE
UNITED HEALTHCARE (AK)	COMMERCIAL	UNITED HEALTHCARE (AK)
MEDI-CAL	MEDICAID	MEDICAID (CA)
CALIFORNIA MEDI-CAL	MEDICAID	MEDICAID (CA)
BCBS OH	COMMERCIAL	BLUE CROSS BLUE SHIELD  
MEDI-CAL	GOVERNMENT	medicaid (CA)
BS OF CALIFORNIA DRUG ONLY	COMMERCIAL	BLUE SHIELD OF CALIFORNIA (CA)
CONNECTICARE  EXPRESS SCRIPT	PBM	MEDICAID (CT)
GENERAL TUFTS	OTHER	TUFTS HEALTH PLAN CORP.
CONNECTICARE  EXPRESS SCRIPT	COMMERCIAL	MEDICAID (CT)
IPA IL	MEDICAID	MEDICAID (IL)
BCILCAID	OTHER	MEDICAID (IL)
MDWISE IND MCAID	OTHER	MDWISE (IN)
MEMORIAL HERMANN HEALTH SYSTEM	COMMERCIAL	MEMORIAL HERMANN HEALTH SOLUTION
PCS	COMMERCIAL	CVS CAREMARK
UHC	COMMERCIAL	UNITED HEALTHCARE
EXPRESS SCRIPTS	MEDICARE	ESI
CVS CAREMARK	MEDICARE	CVS Caremark
BCBS ILLINOIS	MEDICARE	BCBS HEALTHCARE SERVICE CORP (IL)
MEDICAID	OTHER	MEDICAID
EXCELLUS	MEDICAID	BCBS EXCELLUS (NY)
WELLPOINT NEXT RX - EXPRESS SCRIPTS	COMMERCIAL	ANTHEM
UNITED HEALTHCARE (NJ)	OTHER	UNITED HEALTHCARE (NJ)
BCBS MICHIGAN (MI)	OTHER	BCBS MICHIGAN (MI)
MEDICAL MUTUAL OF OHIO	OTHER	MED MUTUAL OF OH/CAROLINA CARE (OH)
BCBS OF ALABAMA	OTHER	BCBS ALABAMA (AL)
ANTHEM	OTHER	Anthem
OPUS HEALTH COUPON PROGRAM	OTHER	OPUS HLTH INFO SYS UNSPEC
ARGUS	OTHER	Argus
MARYLAND PHYSICIANS CARE (MD)	OTHER	MARYLAND PHYSICIANS CARE (MD)
MEDICAID (MI)	MEDICAID	MEDICAID (MI)
MERIDIAN RX	COMMERCIAL	MERIDIAN HEALTH PLAN
ANTHEM (IN)	OTHER	Anthem (IN)
BCBS MINNESOTA (MN)	OTHER	BCBS MINNESOTA (MN)
BCBS ALABAMA (AL)	OTHER	BCBS ALABAMA (AL)
CENTENE(FL)	MEDICAID	Centene(FL)
MEDICAID (AZ)	MEDICAID	MEDICAID (AZ)
AMBETTER (MO)	MEDICAID	Centene(MO)
INDEPENDENT HEALTH	MEDICAID	INDEPENDENT HEALTH ASSN. (NY)
MEDICA	OTHER	Other
MHS IN MEDICAID	OTHER	MEDICAID (IN)
MASSHEALTH	PBM	MEDICAID (MA)
NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN	OTHER	MEDICAID (NC)
BCBS HEALTHCARE SERVICE CORP (IL)	COMMERCIAL	BCBS HEALTHCARE SERVICE CORP (IL)
MEDICAID (OR)	MEDICAID	MEDICAID (OR)
NAVITUS	PBM	Navitus
HEALTH CARE PARTNERS IPA NY	MEDICAID	MEDICAID (NY)
WELLDYNE RX	PBM	WELLDYNERX
AETNA PDP	MEDICARE	AETNA
BCBS FLORIDA (FL)	OTHER	BCBS FLORIDA (FL)
BCBS OF NORTH CAROLINA	OTHER	BCBS NORTH CAROLINA (NC)
BCBS/BS/HEALTH NOW NEW YORK	COMMERCIAL	BCBS/BS/HEALTH NOW NEW YORK
GEISINGER HEALTH	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
MEDICAID (TN)	COMMERCIAL	MEDICAID (TN)
MEDICAID (WV)	COMMERCIAL	MEDICAID (WV)
MERCY MARICOPA (AZ)	MEDICAID	SOUTHWEST CATHOLIC HLTH NTWRK (AZ)
UNITED HEALTHCARE (FL)	OTHER	UNITED HEALTHCARE (FL)
BLUE CROSS BLUE SHIELD OF MICHIGAN	COMMERCIAL	BCBS MICHIGAN (MI)
BUCKEYE COMMUNITY HEALTH PLAN-SPECIALTY DRUGS	COMMERCIAL	CENTENE
OHIO DEPT. OF HEALTH	MEDICAID	MEDICAID (OH)
PENNSYLVANIA DEPARTMENT OF HEALTH	MEDICAID	MEDICAID (PA)
AETNABETTERHEALTH	OTHER	AETNA
AETNA (WV)	COMMERCIAL	Aetna (WV)
ANTHEM - AMERIGROUP TEXAS	MEDICAID	Anthem (TX)
ANTHEM(NV)	COMMERCIAL	Anthem(NV)
BC-BS TX	OTHER	BCBS HEALTHCARE SERVICE CORP (TX)
BCBS NORTH CAROLINA-PRIME THERA	PBM	BCBS NORTH CAROLINA (NC)
BCBS OF NORTH CAROLINA -PRIME THERA	PBM	BCBS NORTH CAROLINA (NC)
BCBS TENNESSEE - BLUE CARD	COMMERCIAL	BCBS TENNESSEE (TN)
BCBS/THE REGENCE GROUP (OR)	COMMERCIAL	BCBS/THE REGENCE GROUP (OR)
BCBS/THE REGENCE GROUP (UT)	COMMERCIAL	BCBS/THE REGENCE GROUP (UT)
CAREFIRST BCBS	COMMERCIAL	"CAREFIRST, INC."
CATAMARAN  FKA SXC HLTH SOLUTIONS	MEDICARE	Catamaran
ENVISIONRX PLUS - LAKER	MEDICARE	ENVISIONRX OPTIONS
FEDERAL EMPLOYEES/CAREMARK	COMMERCIAL	FEDERAL EMPLOYEES/ FEHB
GEISINGER HEALTH SYSTEM FOUNDATION	MEDICAID	GEISINGER HEALTH SYSTEM CORPORATION
GENERAL GEISINGER	OTHER	GEISINGER HEALTH SYSTEM CORPORATION
HUMANA-ARGUS	MEDICARE	HUMANA
MAGELLAN RX MANAGEMENT	PBM	MAGELLAN
MEDICAID (IL)	OTHER	MEDICAID (IL)
NEW HAMPSHIRE MEDICAID	MEDICAID	MEDICAID (NH)
SIERRA NV MEDICAID	OTHER	MEDICAID (NV)
PENNSYLVANIA MEDICAID	OTHER	MEDICAID (PA)
PENNSYLVANIA MEDICAID PROGRAM	MEDICAID	MEDICAID (PA)
MOLINA HEALTHCARE OF OH - CAREMARK	MEDICAID	MOLINA HEALTHCARE INC (OH)
NEXT LEVEL HEALTH PLAN (IL)	COMMERCIAL	NEXT LEVEL HEALTH (IL)
INFORMED RX-SXC	PBM	OPTUMRX
OPTUMRX MEDICARE D	MEDICARE	OPTUMRX
OPTUMRX-CATAMARAN	MEDICAID	OPTUMRX
PRESCRIPTION SOL PDP	OTHER	OPTUMRX
OPUS HEALTH	OTHER	OPUS HLTH INFO SYS UNSPEC
PRIME THERAPUETICS	OTHER	PRIME THERAPEUTICS
PRIORITY HEALTH (MI)	COMMERCIAL	PRIORITY HEALTH (MI)
SILVERSCRIPT PLUS PDP	OTHER	SILVERSCRIPT
TRICARE WEST-HEALTHNET	GOVERNMENT	TRICARE
TRICARE WEST-UHC MILITARY & VETERAN	GOVERNMENT	TRICARE
UHC - NAVIGATE PLUS	OTHER	UNITED HEALTHCARE
UHC - RIVER VALLEY	OTHER	UNITED HEALTHCARE
UNITED HEALTHCARE (MO)	OTHER	UNITED HEALTHCARE (MO)
ANTHEM BC BS IN - WELLPOINT	MEDICAID	Anthem (IN)
BLUE CROSS BLUE SHIELD MINNESOTA	COMMERCIAL	BCBS MINNESOTA (MN)
BLUE CROSS BLUE SHIELD OF MASSACHUSETTS	COMMERCIAL	BLUE CROSS MASSACHUSETTS (MA)
PENNSYLVANIA DEPARTMENT OF HEALTH	COMMERCIAL	MEDICAID (PA)
MERITAIN	COMMERCIAL	MERITAIN HEALTH
MVP	MEDICAID	"MVP Health Care, Inc."
MVP HEALTHCARE	COMMERCIAL	"MVP Health Care, Inc."
NONE	OTHER	Other
NONE	COMMERCIAL	Other
GENERAL HARVARD PILGRIM	OTHER	"HARVARD PILGRIM HEALTHCARE, INC."
NONE	MEDICAID	Other
UNKNOWN	OTHER	Other
GENERAL DIRECT	OTHER	Other
PART D PRESCRIPTION SOLUTIONS	MEDICARE	OPTUMRX
NONE	MEDICARE	Other
MEDICAL PATIENT	OTHER	Other
NONE	PHARMACY	Other
TUFTS - CAREMARK	PBM	TUFTS HEALTH PLAN CORP.
MED PT	OTHER	Other
UNKNOWN	CASH	Other
NONE	CASH	Other
KEYSTONE	COMMERCIAL	KEYSTONE/AMERIHEALTH MERCY
OPTUM RX	PBM	OPTUMRX
AETNA	MEDICAID	AETNA
UHC C AND S	MEDICARE D	UNITED HEALTHCARE
HEALTH PARTNERS PLANS	OTHER	Health Partners Plans
HIGHMARK	MEDICAID	Highmark
BCBS FLORIDA	MEDICARE	BCBS FLORIDA (FL)
BCBS HORIZON (NJ)	MEDICAID	BCBS HORIZON (NJ)
HEALTHNOW NEW YORK INC	MEDICARE	BCBS/BS/HEALTH NOW NEW YORK (NY)
AETNA BETTER HEALTH	MEDICAID	AETNA
HORIZON BC NEW JERSEY	MEDICAID	BCBS HORIZON (NJ)
BCBS NEW MEXICO	MEDICARE	BCBS HEALTHCARE SERVICE CORP (NM)
BCBS	PBM	BLUE CROSS AND BLUE SHIELD
BCBS MASSACHUSETTS	MEDICARE	BLUE CROSS MASSACHUSETTS (MA)
AETNA BETTER HEALTH-PENNSYLVANIA	MEDICAID	Aetna (PA)
ANTHEM BCBS	OTHER	BLUE CROSS AND BLUE SHIELD
MEDICA-CAREMARK	MEDICAID	MEDICA HEALTH PLANS
BLUE CROSS OF CALIFORNIA	OTHER	BLUE CROSS OF CALIFORNIA
TRICARE EAST	OTHER	TRICARE EAST
BCBS TENNESSEE	MEDICAID	BCBS TENNESSEE (TN)
NAVITUS HEALTH SOLUTIONS	MEDICAID	NAVITUS HEALTH SOLUTIONS (UNSPECIFIED)
NAVITUS HEALTH SOLUTIONS	PBM	NAVITUS HEALTH SOLUTIONS (UNSPECIFIED)
BCBS OF NC	OTHER	BCBS NORTH CAROLINA (NC)
FIRST CAROLINACARE (NC)	OTHER	FIRST CAROLINACARE (NC)
UNIVERA HEALTHCARE	MEDICAID	BCBS EXCELLUS (NY)
UNITED HEATLH CARE	MEDICAID	UNITED HEALTHCARE
MEDICAID (WI)	OTHER	MEDICAID (WI)
NY MEDICAID	CASH	MEDICAID (NY)
ANTHEM(VA)	OTHER	Anthem(VA)
HEALTH ALLIANCE MEDICAL PLAN HAP (HENRY FORD HEALTH CARE CORP)	MEDICAID	Health Alliance Medical Plan HAP (Henry Ford Health Care Corp)
AETNA (NY)	OTHER	Aetna (NY)
ANTHEM(NY)	OTHER	Anthem(NY)
INFORMED RX	OTHER	OPTUMRX
BLUE SHIELD OF CALIFORNIA (CA)	OTHER	BLUE SHIELD OF CALIFORNIA (CA)
CENTENE	MEDICAID	Centene
MAGELLAN	COMMERCIAL	MAGELLAN
MODA HEALTH	MEDICAID	Moda Health
PRESCRIPTION SOLN PACIFICARE	OTHER	OPTUMRX
CENTENE(MO)	OTHER	Centene(MO)
STATE OF ARIZONA	OTHER	MEDICAID (AZ)
MEDICAID (NJ)	MEDICAID	MEDICAID (NJ)
MEDICAID (NJ)	OTHER	MEDICAID (NJ)
MERIDIAN HEALTH PLAN (MI)	MEDICAID	Meridian Health Plan (MI)
